,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
64,MÉXICO,CIUDAD DE MÉXICO,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-04-22 00:00:00,FALSO,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA ,FÍSICA APLICADA ,"90,06",EXAMEN DE GRADO,13/12/2022,191924,27,FALSO
65,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-04-22 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,90,POR PROMEDIO,19/05/2023,191550,24,FALSO
66,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-04-23 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA,91,POR PROMEDIO,16/03/2023,193022,23,FALSO
67,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-05-25 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN FÍSICA ,96,TESIS PROFESIONAL,30/03/2023,193051,26,VERDADERO
68,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-04-28 00:00:00,FALSO,INSTITUTO TECNOLOGICO DE HERMOSILLO,INGENIERIA MECANICA,"80,19",TRABAJO TERMINAL,14/02/2022,193076,27,FALSO
69,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-04-28 00:00:00,VERDADERO,UNISON,LICENCIATURA EN FINANZAS,89,TESIS PROFESIONAL,01/05/2010,191865,35,VERDADERO
70,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-04-29 00:00:00,FALSO,UNIVERSIDAD DE SONORA,ECONOMÍA ,"90,15",POR PROMEDIO,21/10/2022,193081,25,FALSO
71,MÉXICO,SONORA,MUJER,SOLTERO(A),0,CATÓLICA,2023-03-05 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA QUÍMICA,"96,1",POR PROMEDIO,,191314,23,FALSO
72,MÉXICO,CIUDAD DE MÉXICO,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-03-05 00:00:00,FALSO,UNIVERSIDAD DE QUINTANA ROO,INGENIERÍA EN SISTEMAS DE ENERGÍA,"94,7",TESIS PROFESIONAL,27/09/2018,193102,32,FALSO
73,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-03-05 00:00:00,VERDADERO,UNISON,LIC. EN CIENCIAS DE LA COMPUTACIÓN,97,POR PROMEDIO,15/09/2022,193105,24,VERDADERO
74,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-04-05 00:00:00,FALSO,UNISON,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,"89,35",NINGUNO,,193124,26,FALSO
