,Pais,Estado,Sexo,Estado Civil,Num Hijos,Religión,Fecha Pre-registro,Nacionalidad,Licenciatura: Institución,Licenciatura: Programa,Licenciatura: Promedio,Licenciatura: Tipo Titulación,Licenciatura: Fecha Titulación,aspirantePosgradoId,Edad,Aceptado
40,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-11-03 00:00:00,FALSO,ITH-CENTRO DE EDUCACION A DISTANCIA-PRG.PILOTO INTERRUMPIDO POR LA INSTITUCION,INGENIERO EN SISTEMAS COMPUTACIONALES TRUNCA,80,NINGUNO,,190025,60,FALSO
41,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-03-20 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS,97,TESIS PROFESIONAL,19/10/2018,186930,27,VERDADERO
42,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-03-20 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"97,71",EXAMEN NACIONAL DE CALIDAD (CENEVAL),03/10/2019,190033,27,VERDADERO
43,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-03-15 00:00:00,FALSO,UNIVERSIDAD AUTÓNOMA DE CIUDAD JUÁREZ,FINANZAS,90,POR PROMEDIO,13/03/2017,190049,27,FALSO
44,MÉXICO,CIUDAD DE MÉXICO,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-03-19 00:00:00,FALSO,ESCUELA BANCARIA COMERCIAL,LICENCIATURA EN CONTABILIDAD,89,PRÁCTICAS PROFESIONALES,01/08/2019,190087,31,FALSO
45,MÉXICO,CIUDAD DE MÉXICO,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-03-19 00:00:00,FALSO,UNADM,LICENCIATURA EN MATEMÁTICAS,92,TRABAJO TERMINAL,01/08/2019,190087,31,FALSO
46,CUBA,SANTIAGO DE CUBA,HOMBRE,SOLTERO(A),0,PROTESTANTE,2022-03-27 00:00:00,FALSO,UNIVERSIDAD DE ORIENTE,CIENCIA DE LA COMPUTACIÓN,90,NINGUNO,07/07/2020,190156,27,FALSO
47,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-03-31 00:00:00,VERDADERO,ITESM,INGENIERÍA MECATRÓNICA,93,EXAMEN NACIONAL DE CALIDAD (CENEVAL),14/12/2018,190212,27,VERDADERO
48,MÉXICO,JALISCO,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2022-03-04 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LIC. ECONOMIA,"97,54",EXAMEN NACIONAL DE CALIDAD (CENEVAL),27/11/2020,190222,21,FALSO
49,MÉXICO,SINALOA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-04-04 00:00:00,FALSO,UNIVERSIDAD AUTONOMA DE SINALOA,LICENCIATURA EN ECONOMIA,87,EXAMEN GENERAL DE CONOCIMIENTO,14/06/2021,190229,25,FALSO
50,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2022-06-04 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN ,95,POR PROMEDIO,31/05/2017,189762,23,VERDADERO
51,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-04-25 00:00:00,VERDADERO,UNIVERSIAD DE SONORA,LICENCIATURA EN BIOLOGIA,89,EXAMEN DE GRADO,12/06/2014,190344,37,VERDADERO
52,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-05-30 00:00:00,FALSO,UNISON,LICENCIATURA EN MATEMÁTICAS,81,TESIS PROFESIONAL,25/11/2022,190415,28,FALSO
53,MÉXICO,SONORA,HOMBRE,DIVORCIADO(A),1,NINGUNA RELIGIÓN,2022-05-16 00:00:00,FALSO,UNISON,DERECHO,"80,56",EXAMEN NACIONAL DE CALIDAD (CENEVAL),04/08/2021,190439,30,FALSO
54,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-05-16 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,ING. EN TECNOLOGÍA ELECTRÓNICA ,"90,2",POR PROMEDIO,24/02/2021,188152,25,VERDADERO
55,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-05-18 00:00:00,FALSO,UNIVERSIDAD DEL VALLE DE MEXICO,LICENCIATURA EN DERECHO,85,POR PROMEDIO,24/11/2015,190479,30,FALSO
56,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-05-21 00:00:00,FALSO,UNIVERSIDAD ESTATAL DE SONORA,INGENIERÍA DE SOFTWARE,93,POR PROMEDIO,04/06/2021,190359,24,FALSO
57,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-05-24 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN ,"93,81",POR PROMEDIO,25/02/2022,189770,24,VERDADERO
58,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-05-27 00:00:00,FALSO,UNISON,MEDICINA,87,EXAMEN NACIONAL DE CALIDAD (CENEVAL),07/06/2017,190521,31,FALSO
59,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2022-05-26 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"92,6",POR PROMEDIO,31/10/2022,190512,23,VERDADERO
60,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-05-27 00:00:00,FALSO,UNIVERSIDAD DE SONORA,CIENCIAS DE LA COMPUTACIÓN,91,POR PROMEDIO,30/12/2022,190509,23,FALSO
0,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-10-24 00:00:00,FALSO,UNIVERSIDAD DE SONORA,FINANZAS,"92,48",POR PROMEDIO,08/08/2021,187846,25,FALSO
1,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2023-01-31 00:00:00,FALSO,INSTITUTO TECNOLOGICO DE HUATABAMPO,INGENIERIA MECATRONICA,94,POR PROMEDIO,21/02/2014,190857,32,FALSO
2,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-08-11 00:00:00,FALSO,UNIVERSIDAD DE SONORA,QUIMICO BIOLOGO CLINICO,82,EXAMEN NACIONAL DE CALIDAD (CENEVAL),21/11/2019,190880,27,FALSO
3,MÉXICO,SONORA,HOMBRE,UNIÓN LIBRE,0,NINGUNA RELIGIÓN,,FALSO,UNIVERSIDAD DE SONORA,MATEMÁTICAS,"96,55",TESIS PROFESIONAL,30/07/2022,190365,25,FALSO
4,MÉXICO,SONORA,HOMBRE,CASADO(A),2,CATÓLICA,2022-11-17 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERÍA EN SISTEMAS DE INFORMACIÓN,"92,25",EXAMEN NACIONAL DE CALIDAD (CENEVAL),31/08/2022,190696,57,FALSO
5,MÉXICO,SONORA,MUJER,SOLTERO(A),0,NO DESEO DECLARARLA,2022-11-18 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA NEGOCIOS Y COMERCIO INTERNACIONALES,"90,15",EXAMEN NACIONAL DE CALIDAD (CENEVAL),15/04/2019,190928,27,FALSO
6,CUBA,ALQUIZAR,MUJER,CASADO(A),0,NINGUNA RELIGIÓN,2022-11-23 00:00:00,FALSO,UNIVERSIDAD DE LAS CIENCIAS INFORMÁTICAS,PLAN DE ESTUDIO. CARRERA DE INGENIERÍA EN CIENCIAS INFORMÁTICAS 2008-2013,87,TESIS PROFESIONAL,24/07/2013,190946,32,FALSO
7,CUBA,SANCTI SPIRITUS,HOMBRE,CASADO(A),0,NINGUNA RELIGIÓN,2022-11-28 00:00:00,FALSO,UNIVERSIDAD JOSÉ MARTÍ PÉREZ,INGENIERIA INFORMÁTICA,"91,2",TESIS PROFESIONAL,24/12/2021,190954,26,FALSO
8,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-11-28 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERIA MECATRONICA,"82,36",POR DIPLOMADO,17/05/2021,190835,27,FALSO
9,MÉXICO,SONORA,HOMBRE,DIVORCIADO(A),1,NINGUNA RELIGIÓN,2022-11-30 00:00:00,FALSO,UNISON,DERECHO,"80,56",EXAMEN NACIONAL DE CALIDAD (CENEVAL),04/08/2021,190439,30,FALSO
10,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2022-06-12 00:00:00,FALSO,UNISON,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,"98,57",POR PROMEDIO,31/05/2022,189325,25,FALSO
11,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2022-08-12 00:00:00,FALSO,UNIVERSIDAD DE SONORA,LICENCIATURA EN MATEMÁTICAS ,"90,48",POR PROMEDIO,05/11/2021,190994,26,FALSO
12,MÉXICO,SONORA,MUJER,SOLTERO(A),0,PENTECOSTALES/EVANGÉLICAS/CRISTIANAS,2022-09-12 00:00:00,FALSO,UNIVERSIDAD SONORA,(LE) ECONOMÍA ,"88,15",EXAMEN NACIONAL DE CALIDAD (CENEVAL),25/10/2021,190995,28,FALSO
13,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-07-01 00:00:00,FALSO,INSTITUTO TECNOLÓGICO DE HERMOSILLO,LICENCIATURA EN INGENIERÍA BIOMÉDICA,92,PRÁCTICAS PROFESIONALES,04/09/2021,190978,26,FALSO
14,CUBA,HABANA,MUJER,SOLTERO(A),2,ESPIRITUALISTAS,2022-12-26 00:00:00,FALSO,UNIVERSIDAD DE LAS CIENCIAS INFORMÁTICAS ,INGENIERO EN CIENCIAS INFORMATICAS,"82,4",TESIS PROFESIONAL,03/07/2012,189214,33,FALSO
15,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NINGUNA RELIGIÓN,2023-01-01 00:00:00,FALSO,UNIVERSIDAD DE SONORA,FINANZAS,88,PRÁCTICAS PROFESIONALES,22/09/2021,190990,27,FALSO
16,CUBA,CIENFUEGOS,MUJER,SOLTERO(A),1,NINGUNA RELIGIÓN,2023-04-01 00:00:00,FALSO,UNIVERSIDAD DE CIENFUEGOS,INGENIERIA INFORMATICA,92,TRABAJO TERMINAL,03/07/2020,191075,29,FALSO
17,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-05-01 00:00:00,FALSO,UNISON,ING. SISTEMAS DE INFORMACION,"80,67",EXAMEN NACIONAL DE CALIDAD (CENEVAL),27/06/2014,188048,34,FALSO
18,CUBA,VILLA CLARA ,HOMBRE,CASADO(A),1,NO DESEO DECLARARLA,2023-05-01 00:00:00,FALSO,UNIVERSIDAD CENTRAL MARTA ABREU DE LAS VILLAS,"LICENCIATURA EN EDUCACION, ESPECIALIDAD INFORMATICA",85,TESIS PROFESIONAL,17/07/2010,191101,40,FALSO
19,MÉXICO,SONORA,HOMBRE,CASADO(A),0,CATÓLICA,2023-06-01 00:00:00,FALSO,UNIVERSIDAD DE SONORA,INGENIERO MINERO,87,TRABAJO TERMINAL,14/04/2023,191113,33,FALSO
20,MÉXICO,SONORA,MUJER,CASADO(A),1,NO DESEO DECLARARLA,2023-01-18 00:00:00,VERDADERO,UNIVERSIDAD DE SONORA,LICENCIATURA EN CIENCIAS DE LA COMPUTACION,85,POR PROMEDIO,07/01/2010,191132,38,VERDADERO
21,MÉXICO,SONORA,HOMBRE,UNIÓN LIBRE,0,NINGUNA RELIGIÓN,2023-09-01 00:00:00,VERDADERO,UNISON,LICENCIATURA EN MATEMÁTICAS,"95,4",POR PROMEDIO,22/11/2022,191138,25,VERDADERO
22,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-09-01 00:00:00,FALSO,UNIVERSIDAD ESTATAL DE SONORA,GESTION Y DESARROLLO DE NEGOCIOS,88,TESIS PROFESIONAL,,190728,28,FALSO
23,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,CATÓLICA,2023-10-01 00:00:00,FALSO,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,INGENIERÍA INDUSTRIAL,87,PRÁCTICAS PROFESIONALES,14/05/2021,191149,26,FALSO
24,MÉXICO,SONORA,HOMBRE,SOLTERO(A),0,NO DESEO DECLARARLA,2023-12-01 00:00:00,VERDADERO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,LICENCIATURA EN NEUROCIENCIAS,"95,4",TESIS PROFESIONAL,01/12/2022,190827,25,VERDADERO
